Įmonės pavadinimas,Subtitras,Adresas,Veiklos sritis,Aprašymas,Kontaktinė informacija
"DND Talis
","
Rewelly
","Verslo g. 11, Grigaičių k., LT-11236 Vilniaus r.","
Veiklos sritys: apranga, drabužiai; avalynė, batai; darbo apranga; darbo sauga.
","
Mūsų tradicijos – jau vienuolika metų esame žingeidūs, nuolat besimokantys ir didžiausią pridėtinę vertę savo klientams nešantys partneriai. Mūsų įmonė yra įsidiegusi kokybės vadybos sistemą ISO 9001. Strateginė veiklos kryptis - ilgalaikių santykių su mūsų klientais kūrimas ir išlaikymas. Tikslas – siekiame tapti...
",https://rekvizitai.vz.lt/imone/uab_dnd_talis/
"M&M Trade Lt
","
SAFETYSTYLE
","Manufaktūrų g. 3, LT-11342 Vilnius.","
Veiklos sritys: darbo apranga; apranga, drabužiai; avalynė, batai; oro transportas, aviacija.
","
UAB ""DSP Plius"" - 2007 m. Sausio 19 d. įkurta šeimos įmonė, skatinanti teisingai pasirinkti ir dėvėti darbo saugos priemones, prekiaujanti sertifikuotomis ir legaliomis priemonėmis, puoselėjanti šiltą bendravimą: tiek pačios komandos, tiek su klientais ar verslo partneriais. Tai yra pažangi įmonė, viena iš darbo...
",https://rekvizitai.vz.lt/imone/m_m_trade_lt/
"DSP Plius
","
","Kalvarijų g. 124, LT-08211 Vilnius.","
Veiklos sritys: darbo apranga; apranga, drabužiai; avalynė, batai.
","
SBA grupei priklausanti bendrovė „Utenos trikotažas“ yra pirmoji bendrovė pasaulyje, atitikusi „Greenpeace“ tvarios gamybos standartą. Įmonė yra didžiausia ir viena moderniausių trikotažo produkcijos gamybos įmonių Vidurio ir Rytų Europoje. Siekdama koncentruotis į perspektyvesnę veiklą, įmonė orientuojasi į...
",https://rekvizitai.vz.lt/imone/dsp_plius/
"Utenos trikotažas
","
","J. Basanavičiaus g. 122, LT-28214 Utena.","
Veiklos sritys: siuvimas, medžiagos; apranga, drabužiai; gamyba.
","
Ačiū, kad apsilankėte ir skiriate kelias minutes pažinčiai su mumis. Nuo 1865 metų karta iš kartos Vilniaus kailiai puoselėja kailių ir odos mados tradicijas Lietuvos sostinėje Vilniuje. Mūsų verslas prasidėjo kailių išdirbimo gamyklos vietiniu ir tarptautiniu pripažinimu. Nuo 2005-ųjų plėtėme veiklą kaip žinoma...
",https://rekvizitai.vz.lt/imone/utenos_trikotazas/
"VILNIAUS KAILIAI
","
","Paupio g. 28, LT-11341 Vilnius.","
Veiklos sritys: apranga, drabužiai; interneto parduotuvės; kailiai ir jų dirbiniai; odos gaminiai.
","
Flokati – tai vardas, menantis 20 metų patirtį. Mūsų gaminiai kuriami čia, Lietuvoje, iš kruopščiai atrinktų sertifikuotų merinosų, kupranugarių, kašmyro vilnos audinių. Asortimente rasite antklodes, pagalves, paklotus, pledus, drabužius, vilnones juostas, aksesuarus, šlepetes, kojines, vidpadžius – visai šeimai...
",https://rekvizitai.vz.lt/imone/vilniaus_kailiai/
"Flokati
","
","Trešnių g. 5, Giraitė, LT-54307 Kauno r.","
Veiklos sritys: apranga, drabužiai; audiniai, patalynė; eksportas; gamyba.
","
",https://rekvizitai.vz.lt/imone/uab_flokati/
"Katinaitė
","
k.N.itty
","Eitminų g. 12-75, LT-12111 Vilnius.","
Veiklos sritys: apranga, drabužiai.
","
Mano vardas Ramunė ir sukūriau Jums kolekciją megztų drabužių, kuriuos norėsite dėvėti kasdien. Tai rankų darbo kūriniai: kruopščiai apgalvoti, nuo idėjos iki mezginio lydimi rūpestingo žvilgsnio, su meile numegzti iš aukščiausios rūšies verpalų. Ramios, žemiškos spalvos bei stilingi, lengvai tarpusavyje derinami...
",https://rekvizitai.vz.lt/imone/katinaite/
"LAMESTA
","
","Jonavos g. 200, LT-44132 Kaunas.","
Veiklos sritys: apranga, drabužiai; galanterija.
","
UAB LAMESTA - NAUJI ŽINOMŲ VOKIETIJOS GAMINTOJŲ DRABUŽIAI MOTERIMS ir VYRAMS VISADA 20-80 PROC. PIGIAU. LAMESTA - PUIKI KOKYBĖ UŽ GERĄ KAINĄ. UAB LAMESTA parduotuvėse rasite: OUI, BETTY BARCLAY, BETTY & CO, VERA MONT, GIL BRET, EUGEN KLEIN, BARBARA LEBEK, FALKE, VENTI, CASA MODA, HATTRIC, CALAMAR bei kitų...
",https://rekvizitai.vz.lt/imone/lamesta/
"Apranga
","
","Ukmergės g. 362, LT-14311 Vilnius.","
Veiklos sritys: apranga, drabužiai; avalynė, batai.
","
„Aprangos“ grupė – mažmeninės prekybos drabužiais lyderė Baltijos šalyse, bendradarbiaujanti su garsiausiais prekės ženklais Europoje ir pasaulyje. „Aprangos“ grupę sudaro pagrindinė įmonė APB „Apranga“ ir 24 dukterinės įmonės. Pagrindinė įmonė APB „Apranga“ nuo 1997 metų listinguojama Nasdaq Vilnius vertybinių...
",https://rekvizitai.vz.lt/imone/apranga/
"Inaigė
","
Didmeninė prekyba avalyne ir drabužiais
","Pramonės pr. 4H, E korpusas, LT-51329 Kaunas.","
Veiklos sritys: avalynė, batai; apranga, drabužiai; didmeninė prekyba; sporto, turizmo reikmenys.
","
DIDMENINĖ PREKYBA VYRIŠKA, MOTERIŠKA BEI VAIKIŠKA AVALYNE UAB „Inaigė“ vykdo žinomų pasaulinių prekių ženklų avalynės, drabužių ir aksesuarų didmeninę prekybą. Turėdami 15 metų patirtį galime pasiūlyti aukštos kokybes prekių už patrauklią kainą. Turime daug tiekėjų Europoje, todėl prekes gauname iš pirmų rankų...
",https://rekvizitai.vz.lt/imone/inaige/
"SIGARTA
","
AGO - Sportinių aprangų siuvimas
","Draugystės g. 17, LT-51229 Kaunas.","
Veiklos sritys: siuvimas, medžiagos; apranga, drabužiai; eksportas; sporto, turizmo reikmenys.
","
UAB „Sigarta“ užsiima siuvimu ir gamyba aprangos, skirtos profesionaliam sportui, mėgėjams ir tiems, kurie mėgsta aktyvų, bet patogų ir kokybišką laisvalaikį. Šioje rinkoje dirbame daugiau, kaip aštuonerius metus. Savo sėkmingos veiklos dėka, radome daug patikimų draugų ir partnerių tarp skirtingų sporto mėgėjų...
",https://rekvizitai.vz.lt/imone/uab_sigarta/
"TEKSASAS
","
POPPRI
","Gruodžio 17 - osios 14, LT-20139 Ukmergė.","
Veiklos sritys: interneto parduotuvės; apranga, drabužiai.
","
POPPRI — tvarios mados ambasadoriai nuo 2012 metų Prikeliame pasaulyje garsių mados brendų gaminius naujam gyvenimui, o per internetinius aukcionus juos grąžiname sąmoningiems, aplinką tausojantiems ir drąsiems mados entuziastams visame pasaulyje. Su meile dėvėti, ar per sezoną neparduoti, arba tiesiog pirkėjams...
",https://rekvizitai.vz.lt/imone/uab_teksasas/
"Šatrija
","
","Šatrijos g. 3, LT-60180 Raseiniai.","
Veiklos sritys: apranga, drabužiai; eksportas; gamyba.
","
SBA bendrovė „Šatrija“ priklauso „Utenos trikotažo“ įmonių grupei. „Šatrija“ gamina aprangą ugniagesiams ir kariams, siuva „išgyvenimo kostiumus“ jūrininkams, žvejams, naftos platformų darbuotojams. Įmonės specialistų rankose – atsakingas darbas ir gaminiai, kurie gali ir turi išgelbėti gyvybę. „Šatrija“ –...
",https://rekvizitai.vz.lt/imone/satrija/
"Alegro forte
","
galanterijos paslaugos Vilniuje, siuvimas,taisymas
","Konstitucijos pr. 12, įėjimas iš Šnipiškių g., LT-09308 Vilnius.","
Veiklos sritys: siuvimas, medžiagos; apranga, drabužiai; darbo apranga; dovanos; galanterija; gamyba; kailiai ir jų dirbiniai; odos gaminiai.
","
Odinių rūbų siuvimas, kailinių siuvimas, rankinių siuvimas Drabužių ir aksesuarų siuvimas iš odos ir kailio pagal individualius užsakymus. Dirbame ir su tekstiliniais audiniais.Konsultuojame pasirenkant tinkamą gaminio modelį, tinkamą odą ar kailį. Siuvimas, taisymas odinių rūbų, kailio gaminių, galanterijos...
",https://rekvizitai.vz.lt/imone/alegro_forte/
"BALTIJOS DIDMENA
","
MemberShop
","Trakų g. 3, LT-01132 Vilnius.","
Veiklos sritys: interneto parduotuvės; apranga, drabužiai; kosmetika, parfumerija.
","
LYDERIAUJANTIS MADOS PREKIŲ IŠPARDAVIMŲ KLUBAS BALTIJOS ŠALYSE! Žymiausi prekiniai ženklai su nuolaida iki -80%* MemberShop.lt – internetinis išpardavimų klubas, vienijantis daugiau nei 0,8 mln. narių net keturiose valstybėse: Lietuvoje, Latvijoje, Estijoje ir Lenkijoje. Registruotiems vartotojams suteikiama...
",https://rekvizitai.vz.lt/imone/parfum_express_parduotuve_baltijos_didmena/
"Blockpost
","
","Medvėgalio g. 23-67, LT-44451 Kaunas.","
Veiklos sritys: sporto, turizmo reikmenys; apranga, drabužiai; įrankiai; žūklės ir medžioklės reikmenys, paslaugos.
","
BlockPost.lt elektroninės prekybos parduotuvė siūlo įvairias prekes skirtas aktyviam poilsiui: žvejybai, medžioklei, turizmui, sportavimui. Asortimente tik geros, kokybiškos prekės. Turistiniai katiliukai, kuprinės, Tai žinomi tokios produkcijos gamintojai ir brandai: D.A.M., BlueFox, Esbit, Lansky, Helikon...
",https://rekvizitai.vz.lt/imone/blockpost/
